7eng\frame00131.jpg	1087.02001953 0.826162059389 -0.0211078304103 0.562866538945 -0.0138420562075 -23.0780832778 -0.0202448357426 10.1999821029 -0.0410244819345 0 
7eng\frame00132.jpg	1086.12597656 0.811081389724 -0.0209873961231 0.584336473664 -0.0160729019276 -23.3996461481 -0.0292261574803 9.96984423853 -0.0349596776057 0 
7eng\frame00133.jpg	1084.38342285 0.797057851679 -0.021366407171 0.603226864076 -0.0190124212391 -23.6630731392 -0.0338719270951 9.66646055025 -0.0369118429951 0 
7eng\frame00134.jpg	1084.20385742 0.786117857896 -0.0201473329851 0.617380595993 -0.0213356424875 -23.9229750476 -0.0535605255219 9.33555329034 -0.0351676123514 0 
7eng\frame00135.jpg	1083.72192383 0.775216083162 -0.0181405788817 0.631015147009 -0.0230546999319 -24.1732262043 -0.0423376164707 8.99626860228 -0.0341669276853 0 

engfactory\frame00131.jpg	1109.94458008 0.994243274731 -0.0534384469865 -0.0922518295111 0.0106869106612 54.4009407779 0.102018600218 -31.8319075869 -0.0462155644018 0 
engfactory\frame00132.jpg	1102.88171387 0.996267070575 -0.0553850853746 -0.0655039168974 0.00967383782759 54.1547103599 0.095687219938 -31.3330384648 0.00430786872835 0 
engfactory\frame00133.jpg	1109.69396973 0.997472541888 -0.056244161448 -0.0426166795732 0.00831356721578 53.7243238649 0.068478185239 -31.328116775 -0.0356229291959 0 
engfactory\frame00134.jpg	1113.74719238 0.998085638374 -0.0564309751221 -0.0244827196724 0.00645456588391 53.3270992038 0.046179437072 -31.181354216 -0.0405713864529 0 
engfactory\frame00135.jpg	1111.28100586 0.998388484856 -0.056159238483 -0.00693029537075 0.00431772464221 52.9173349731 0.0667247395754 -30.949022411 -0.0396169443981 0 
